user,content,like,time
练习牲想观察,这个kimi也是个串子，我问谁是尖塔最强的职业，它叫我别带鸡煲节奏,58,2025-01-26 12:01:13
工具人-尽力而为型,"我的战士鸽:打着打着突然无限(时间:43:19)
我的劣人:转着转着慢慢无限(时间:47:21)
我的鸡煲:这啥?散热片?假设后面要来ai，拿着，
爪击?(打开卡组）一堆弃牌堆回手的，拿着，大不了后面删……(一路发育)……(一层boss前火堆）什么情况?一张冰球没有，集中没有，修车没有，老实睡一觉吧zzz……(战斗中）(sl改随机数中）(艰难薄纱一层boss)康康金卡(裂变激光增幅)沉默是今晚的康桥(苦涩的拿下裂变)康康遗物(狗圈绿帽锤子)md不受这气，下一把(时间:24:29)
我的观者:虎!红!蓝!红!打!蓝!红!腾越!潦草渎神打打打!给爷死!下一个!啥?没了?这就是我们观者，真是数数又值值啊(时间:18:17)",74,2025-01-26 00:08:39
无情帅豪豪,萌新八十小时鸡煲a20，已经碎心失败四次了，这心脏到底怎么杀啊！,2,2025-01-28 08:27:21
小木曾忆莲,杀戮尖塔可能会出2，但鸡煲笑话永不过时[星星眼],3,2025-01-26 08:20:51
一只覆膜,不懂就问，鸡煲能不能打赢复活赛🤔,1,2025-01-26 02:03:23
氷言kori,萌新知道一点就行，鸡煲是杀戮尖塔最强角色，选择鸡煲，选择成功,0,2025-03-05 14:24:23
检测到违规1,189小时无脑玩鸡煲才打到进阶六，我太菜了,0,2025-02-10 21:40:09
